"contrast" "interval" "correct" "subject"
0.2 1 1 "s4"
0.2 1 1 "s4"
0.2 2 1 "s4"
0.2 2 0 "s4"
0.2 1 1 "s4"
0.2 2 1 "s4"
0.2 2 1 "s4"
0.2 2 1 "s4"
0.2 1 1 "s4"
0.2 1 1 "s4"
0.4 2 1 "s4"
0.4 1 1 "s4"
0.4 1 1 "s4"
0.4 2 1 "s4"
0.4 2 1 "s4"
0.4 2 1 "s4"
0.4 2 1 "s4"
0.4 1 1 "s4"
0.4 1 0 "s4"
0.4 1 1 "s4"
0.1 2 1 "s4"
0.1 2 1 "s4"
0.1 2 1 "s4"
0.1 2 1 "s4"
0.1 1 1 "s4"
0.1 1 0 "s4"
0.1 1 1 "s4"
0.1 1 0 "s4"
0.1 2 0 "s4"
0.1 1 0 "s4"
0.05 2 0 "s4"
0.05 1 0 "s4"
0.05 1 0 "s4"
0.05 2 0 "s4"
0.05 1 1 "s4"
0.05 1 1 "s4"
0.05 2 1 "s4"
0.05 1 0 "s4"
0.05 1 1 "s4"
0.05 2 1 "s4"
0.05 2 1 "s4"
0.05 1 1 "s4"
0.05 2 0 "s4"
0.05 1 1 "s4"
0.05 1 0 "s4"
0.05 1 0 "s4"
0.05 2 0 "s4"
0.05 2 0 "s4"
0.05 2 0 "s4"
0.05 2 1 "s4"
0.2 1 1 "s4"
0.2 2 1 "s4"
0.2 2 1 "s4"
0.2 2 1 "s4"
0.2 2 1 "s4"
0.2 2 1 "s4"
0.2 2 1 "s4"
0.2 1 1 "s4"
0.2 1 1 "s4"
0.2 1 0 "s4"
0.2 1 1 "s4"
0.2 1 1 "s4"
0.2 1 1 "s4"
0.2 2 1 "s4"
0.2 1 0 "s4"
0.2 1 1 "s4"
0.2 2 1 "s4"
0.2 1 1 "s4"
0.2 2 1 "s4"
0.2 2 1 "s4"
0.4 1 1 "s4"
0.4 2 1 "s4"
0.4 1 1 "s4"
0.4 1 1 "s4"
0.4 1 1 "s4"
0.4 1 1 "s4"
0.4 1 1 "s4"
0.4 2 1 "s4"
0.4 2 1 "s4"
0.4 2 1 "s4"
0.4 2 1 "s4"
0.4 1 1 "s4"
0.4 2 1 "s4"
0.4 2 1 "s4"
0.4 1 1 "s4"
0.4 2 1 "s4"
0.4 2 1 "s4"
0.4 1 1 "s4"
0.4 1 1 "s4"
0.4 2 1 "s4"
0.05 2 1 "s4"
0.05 1 1 "s4"
0.05 2 0 "s4"
0.05 1 1 "s4"
0.05 1 1 "s4"
0.05 2 0 "s4"
0.05 2 1 "s4"
0.05 1 1 "s4"
0.05 2 0 "s4"
0.05 2 1 "s4"
0.05 1 1 "s4"
0.05 2 1 "s4"
0.05 1 1 "s4"
0.05 2 0 "s4"
0.05 1 1 "s4"
0.05 1 1 "s4"
0.05 2 0 "s4"
0.05 1 0 "s4"
0.05 2 1 "s4"
0.05 1 0 "s4"
0.1 1 0 "s4"
0.1 1 0 "s4"
0.1 2 1 "s4"
0.1 2 1 "s4"
0.1 1 1 "s4"
0.1 2 0 "s4"
0.1 2 0 "s4"
0.1 2 1 "s4"
0.1 2 0 "s4"
0.1 1 0 "s4"
0.1 1 0 "s4"
0.1 1 0 "s4"
0.1 1 0 "s4"
0.1 2 1 "s4"
0.1 1 1 "s4"
0.1 2 1 "s4"
0.1 2 1 "s4"
0.1 1 0 "s4"
0.1 2 0 "s4"
0.1 1 1 "s4"
0.8 1 1 "s4"
0.8 2 1 "s4"
0.8 1 1 "s4"
0.8 2 1 "s4"
0.8 2 1 "s4"
